Topic,Count,Name,Representation,Representative_Docs
0,5,0_limestone_cave_look_formation,"['limestone', 'cave', 'look', 'formation', 'form', 'calcium', 'rain', 'line', 'like', 'time']","['calcium richch limestone compose shell skeleton ancient sea animal sink ocean floor gradually compress million year calcium dissolve easily acid acid rain slowly erodess limestone form cave time world large cave form rain dissolve limestone challenging final climb bring grand entrance sondong deep switch headlamp path lead hope vision passage', 'waterfall phytocarst formation rare limestone formation shape growth algae moss microorganism calcium carbonate biological geological process shape like partly living partly non living phytocarse formation move sun like hand extend cave climb km dark finally reach destination second dolan big look amazing sudden forest cave look dense roof cave point', 'look arm look pass formation look like travertine limestone step path lead saong wow view amazing water come side encave welcome night deep jungle time meet song cave try come know move know leech get big beneath soil walk lie millionyear old limestone formation begin form long existence human dinosaur']"
1,4,1_roof_grow_large_cave,"['roof', 'grow', 'large', 'cave', 'soil', 'sunlight', 'rainforest', 'plant', 'river', 'light']","['tree rainforest surround opening right meter inside cave reason hole exist hundred thousand year ago river flow inside song dong erode limestone weaken roof roof hold collapse create giant hole light give life algae moss afternoon delane number different real jungle let incredible formation stellag different owe unique layered shape', 'feed river large fast river flow cave come life like hundred meter inside cave sunlight heavy flood bring soil plant stem cave sprout seed unfortunately sunlight will survive long flood bring spore mushroom grow moisture darkness perfect yesterday water reach carry lot mud recent fault happen sign incident visible reach', 'collapse result intersection main fault form line surface m collapsed cave roof allow sunlight enter give rise entirely new ecosystem despite extreme condition plant animal manage adapt turn place unique underground rainforest forward light height plant grow soil make perfect form rainforest large portion soil consist bat guano accumulate million']"
2,3,2_level_tree_come_sound,"['level', 'tree', 'come', 'sound', 'thin', 'cave', 'bird', 'snail', 'tall', 'height']","['level thank watching ruhi chennet', 'sound forest calm explorer come think find exit moment remember cave cave rainforest tree thin tall reach sunlight come thin tall compare width certain tree reach height m tree prioritize height maximize sunlight absorption remain snail monkey catch snail break stone eat cave start come sign redshin duke leave look', 'area learn need know head beach inside cave century water nearby river gradually carve place ceiling m high cave m wide flooding season space submerge underwater understand basket water level rise carry object level breathtaking lake impossible quick dip dusk sound swift bird echo cave short weak leg bird ground']"
3,2,3_image_article_underground_fossil,"['image', 'article', 'underground', 'fossil', 'slash', 'ask', 'see', 'go', 'specie', 'animal']","['sandon large cave planet cave massive completely self sustain ecosystem climate condition hundred meter underground cloud see sky form inside cave son untouched prehistoric rainforest hide far surface vast underground river transparent fish colorful monkey endic plant animal specie live underground world seven new animal specie recently discover unique place', 'cave website check related article find fossil image description go press command slash control slash open area build ai tool let ask highlight key point article article mention different coral fossil specify image belong creature luckily arya image recognition feature go upload image ask okay identify fossil see etc corolia']"
4,2,4_pearl_like_year_formation,"['pearl', 'like', 'year', 'formation', 'rare', 'tiny', 'rock', 'old', 'cave', 'million']","['stretch km length cave hold million cub m space passage enormous skyscraper fit inside giant stellagmite rise like tower ancient city walk inside impossible feel small tiny bug rock sandon contain phytocarst rock sun like semi living organism rare cave pearl unique formation find million year formation world idea cave', 'movement like fish cricket completely blind super rare formation call cave pearl usually cm diameter old big tennis ball like real pearl form tiny nucleus grain sand layer mineral slowly build time need year fully form push cave unexpected catch eye deer bone estimate year old challenge ahead m high']"
5,2,5_cave_large_entrance_fully,"['cave', 'large', 'entrance', 'fully', 'explore', 'dong', 'surround', 'mineral', 'song', 'world']","['km long cave explore record newly discover animal entrance sondong cave people look tiny entrance step surround incredible cave formation water rich mineral flow ceiling wall build beautiful rimstone pool time animal greet cricket make way rock stagmite sparkle pure white mineral type compose look like diamond yes huge stactite', 'existence fully explore vietnam time large cave earth individual access forbid protect visitor fragile environment expedition operate oxalus authorized agency reach song dong tke jungle hour pass n cave world large cave cave serve gateway world large cave crucial fully prepare possibility set journey deep online research song dong surround']"
6,2,6_jump_ground_sleep_bat,"['jump', 'ground', 'sleep', 'bat', 'stand', 'tower', 'trap', 'look', 'sdong', 'funnel']","['catch ground spiderweb sense vibration trap insect spider jump bite prey return funnel eat sand tower water drip part pebble protect surrounding erode end form tower look like small metropolis carefully look guy stand rock teammate far distance stand slide m length km forward cave camping site imagine sleep look', 'jump high place fly trap ground mean death certain bird unlucky wait die sunrise ready journey song dong cave neighborhood sdong massive city comparison darkness help wonder await sonong walk dozen cricket ground start jump ground cover century bat guano countless bat hang deep sleep awake constantly defecate good idea']"
7,2,7_insect_live_specie_limestone,"['insect', 'live', 'specie', 'limestone', 'thread', 'hole', 'old', 'monkey', 'huge', 'tree']","['blue green light tail attract flying insect sticky thread insect get stick larvae pull thread mouth eat prey limestone old limestone southeast asia million year old sea creature limestone mineralize end fossil like example detail fossil later son take water droplet reach ground like second height wall m huge look', 'year highly fertile soil deep small hole insect hole insect make trap fall catch animal jungle huge biologist find specie plant specie animal live area monkey tree cave monkey live primate typically prefer tree habitat cave environment suitable extraordinary cave new live space certain specie come centipede snake live forest']"
8,2,8_wall_passage_navigate_great,"['wall', 'passage', 'navigate', 'great', 'fourth', 'reach', 'vietnam', 'day', 'fish', 'light']","['snail break probably eat monkey kind forget cave massive go camp tonight fourth final day cave today navigate waterfield passage reach great wall vietnam stagmite look fascinating like work sculptor pool water surround column fish swim fish eye adapt live total darkness instead sense get strong time reaction shadow hand', 'carst wall call great wall vietnam reach pass m long passanddale passage passage fill water turn breathtaking jade green lake high light reach wall light exit visible meter away explore world large cape end fourth day exploration mystery remain ancient creature fossil see sondong belong open opera browser quickly navigate']"
9,2,9_tab_feature_opera_extinct,"['tab', 'feature', 'opera', 'extinct', 'visit', 'tentacle', 'believe', 'creature', 'animal', 'experience']","['let check information sea creature tab island feature effortlessly group tab topic save space expand collapse need split browser window view website appear tetracoria rugosa go extinct million year ago carnivorous specie believe tentacle catch prey grow cm extinct today know exactly animal look like arya image generation feature create', 'possible visual animal illustration live tetracolia draw colony tentacle way tab trace feature help recent visit tab darken underscore dark underline recently tab visit opera smart tool believe identify creature fossil belong opera enhance workflow float music player customizable theme feature download opera link description box pin comment browse experience']"
