Length,Count
1,1479
2,2408
3,3874
4,3470
5,3176
6,2544
7,1989
8,1523
9,1213
10,965
11,734
12,594
13,467
14,395
15,362
16,210
17,194
18,156
19,143
20,101
21,98
22,87
23,68
24,58
25,128
26,48
27,59
28,24
29,33
30,26
31,19
32,21
33,11
34,14
35,9
36,14
37,7
38,8
39,5
40,3
41,2
42,2
43,3
44,2
45,2
46,3
47,8
48,3
49,5
50,1
51,1
52,0
53,2
54,0
55,1
56,1
57,3
58,1
59,0
60,1
61,2
62,2
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,2
